x1,x2,z1,z2
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,4.5,-36.0,18.0
0.0,4.5,-36.0,18.0
0.0,4.5,-36.0,18.0
0.0,4.5,-36.0,18.0
0.0,4.5,-36.0,18.0
0.0,4.5,-36.0,18.0
0.0,4.5,-36.0,18.0
0.0,4.5,-36.0,18.0
0.0,4.5,-36.0,18.0
3.0,3.5,-37.0,29.0
